Protein.Group	Columns can be as numerous as you want and contain whatever you want.	As long as there is a "Protein.Group" -column, and sample columns that match the sample table exactly.	6136_sample1_replicate1	6135_sample1_replicate2	6137_sample1_replicate3	6127_sample2_replicate1	6128_sample2_replicate2	6129_sample2_replicate3	sample3_replicate1	sample3_replicate2	sample3_replicate3	these_samples_without_sample_group_will_not_be_loaded	sample_without_sample_group_2	sample_without_sample_group_3
Q9UBM7			3676.27	3813.68	3200.36	2118.16	3179.27	2987.47	2730.44	2248.5	2952.2	2588.63	3086.12	3088.47
Q9BS18			5417.73	5344.58	6276.3	6942.39	7358.47	6685.74	8445.88	7251.38	9310.36	7291.35	8930.78	6559.71
Q8NBN3				1667.19	1210.73	1868.8		818.142	1432.6	1222.68	946.774	2267.56	1388.6	1374.86
Q8NGJ3			2944.72	4884.18	5077.95	4832.11	4967.3	4894.61	5311.2	5684.97	5291.4	4501.44	5354	4784.05
Q5JR59			4891.05	6680.86	5485.33	3101.86	4297.54	4297.84	5135.84	5035.91	5373.48	6168.61	5753.44	4893.01
Q8NCQ7			224004	247039	255419	216826	199312	203013	177655	188572	181748	185976	186496	185582
A0A1B0GVX0				3629.7	2931.01	2765.11	2264.96	2880.75	2529.24	2101.27	2301.17	2854.12	2275.63	3174.36
Q8WU66			67860.7	69284.1	69548.8	78722.3	81865	77586.7	75507.1	77970.4	79505.2	67272.6	76269.2	73474.3
Q96EU7			8971.31	13700.7	10321.7	9658.68	10972.4	13659.2	15190.3	13253.6	14200.6	14090.1	13128	15302.3
Q9C0D9			9978.62	8618.88	7886.74	12367.1	13439.3	11103.2	9967.82	10207.2	9047.22	12575.8	10487.4	10101.7
A0A096LPI5			1662.82	3465.44	3724.74		2439.18	2412.01	2170.96	2083.22	2174.59	2981.19	3197.4	2917.09
O00159			786.061	436.663	1450.93		1346.31	1118.11	1890.91	1024.34	256.648			
Q3B7S5			9521.61	9893.65	11005	10197.8	9219.97	11005.1	12906.9	11780.9	10109	10843.6	11582.9	11584.1
Q6ZWL3			18983.5	21932.7	18142.6	17171	20424.2	11812.1	13015.1	13129.6	13006	13340.8	10460.1	10529.4
Q6ZWJ1			7594.1	6701.16	5129.09	5656.96	5668.31	6429.62	5303.21	5826.87	5766.69	6044.09	7022.84	6415.24
Q9BQY9														
Q5VUJ5			25051.7	28099.4	31401.3	34689	34675.9	36249.9	35809.4	40305	40984.9	37193.1	36348	34108.8
O14686			18181.8	18343.3	20679.5	20285.3	21144.7	20537.2	17838	19827.1	18476.6	15636.6	18024.8	15351.5
P41219			12020.5	11371.8	11052.3	14246.7	13756.6	12801.7	15144.1	14926.1	14225.7	15729.2	14907	14039
A6NI61			5436.4			6457.37	6478.52	6379.98	4431.92	5185.42		4687.12	6135.84	
Q13794			35211.4	35766.3	34272	42909.4	41743.8	43371.6	40037.6	37828.9	42042.2	39444.7	39697.3	35136
Q8NFT8			5602.49	6720.03	6520.69	3939.4	5122.12	5261.97	4827.83	4808.53	5162.87	4323.63	4407.95	5311.48
Q8TDN2			4200.06	6546.26	7470.01	4310.24		4872.94	4089.14	3452.94	4077.22	3682.01	4339.76	3756.59
Q8WW52			15784.1	15282.1	13885.3	17229.1	17968.7	18675.2	18282.9	19145.6	20938.9	20854.3	20853.1	20348.2
O95299			4843.42					4031.99	4668.51	3870.02	4391.57	4289.22	4937.52	
P09884			996.814	510.571	913.626	618.436	342.226	461.843	504.265	463.628	560.094	405.368	611.76	630.876
P33763			3636.89	3196.97	2728.92	2760.61	2588.47	2141.13	3040.41	2891.9	2910.14	2875.65	2967.2	2853.67
Q6N063			1426.51		1020.82	958.318	1016.74	1023	1014.01	1135.79	1712.35	1150.38	1616.18	1326.77
Q9BUI4			14435.3	15246.8	16654.7	15668.3	17252.6	17627.5	13557	14429.7	14165.1	14496	12975.2	12757.1
P07477					6116.23	4351.33	3962.52	4268.02	6296.15	4892.87	4121.44	4871.58	4681.44	
Q9BYL1			1719.49	2133.12	2183.91	2052.76	2442.46	3232.92	1795.81	1487.39	1686.11	1818.39	1462.06	1682.9
Q9NS40			52807.8	51333.8	50694	51349.6	53659.3	52340	54826.4	53963.1	52530	52748.7	54247.5	54435.6
O95867			2553.57	2703.29	2350.99	3021.08	2817.07	2150.61	2872.76	1687.52	2020.19	2208.42	1662.89	1956.58
Q96G27			6071.86	4782.13	3997.05	4841.13	4371.08	3725.13	3552.37	3898.57	3480.57	3388.9	3323.42	3774.52
Q92890			3683.97	3259.69	2554.24	3768.47	3363.12	2622.37	4219.22	3913.05	3555.3	4602.64	4905.17	4552.3
Q7Z4N8			63425.1	59659.8	71417.1	61439.3	50029.1	48863.7	49592.9	54106.8	55963.4	61025.9	63853.5	49625.9
Q9UBX7			3471.12	4130.65	4786.28	5293.91	4644.29	4659.59	5758.1	5877.26	6454.6	7561.82	6181.74	6611.48
P19823			69032.9	66907.5	69169.6	85329.2	83942.2	80410.4	89806.3	97001	92289.3	97150.9	94908.1	92917.3
A0A3B3IS91			43281.4	46618.7	47060.9	54473.7	57061.7	55455	63248.2	64994.3	66671	66974.8	69823.6	69002.4
Q8NFK1			47077.2	58208.1	54575.9	68509.9	66835.2	69674	69683	73470.8	72619.3	69617.7	69564.4	66308.2
P11684			5279.03	5988.8	6686.43	6408.06	6859.21	6485.66	6869.57	6451.22	7044.72	7504.2	7644.62	7511.65
Q6L8H4			175416	176500	174335	157308	161998	159697	127087	130770	121629	121796	114931	115730
P02549			6390.75	5746.21	6730.87	8598.61	7945.39	8248.76	9068.87	9841.94	9517.66	9989.94	8895	9794.85
Q9H2J4			9113.24	7917.92	9280.84	4289.47	7035.77	5784.8	4915.31	6919	6076.01	7114.59	5857.47	7813.85
P49768			22159.2	25910.7	24204.3	23356.7	22649.5	22564.3	23089.3	22414.2	20966.7	21041.2	20778.1	21196.6
Q96Q83							740.362	1329.06	1317.81	1144.06	1017.23	1453.77	1019.25	1076.47
O15544			14878.1	14434.5	14859.1	14385.5	15252.1	14952.6	15706.9	15646.1	16573.4	16064	15644.4	15366.6
Q96A22			25141.3	24108.9	22223.8	26913.6	28068.1	28711.7	26100.6	24228.5	25408.7	24990.8	25764.1	24402.7
Q9Y5G9			2095.65	1899.96	2253.07	1464.58	1198.29	1042.95	1099.83	2070.93	1561.06	2100.86	2587.36	2982.73
O75969			5716.35	5094.45	5864.55	4281.72	4775.75	4716.02	4694.64	4592.98	4603.28	4309.86	4738.69	4988.97
Q14005			22004.3	21567.8	20157.3	17777.3	19235.6	19517.9	17939.5	18673.6	18148.8	19368.5	18338.1	18259.9
Q9P2A4			7799.2	8789.89	8125.11	8149.4	8094.06	7904.07	6741.45	6865.6	6938.8	6791.46	6547.46	6649.86
P15813			889.925	1774.66	1418.94	947.093	1358.91	1148.26	1351.23	1286.41	1066.32	782.18	1281.29	1321.49
Q8N349			3604.3	3690.65	3988.18	4826.03	3980.45	3531.05	4829.37	5552.36	4234.54	5518.27	6339.56	5062.79
Q9Y3B9			17127.6	18994.5	20503	20289.3	21814.6	21178.9	25679.7	25515.1	23859.8	25314.9	24235.3	20836.3
P21731			19411.4	18646.5	21478	21174.8	20794.8	26630.6	23112.4	22316.1	19263.9	19996.9	18776.1	22728.3
Q96CF2			14681.4	13997.3	13671.8	9776.14	9663.36	8795.63	9504.34	10662.1	9904.04	10271.3	10502	10788.1
Q86V35			76209.7	81439.1	82450.9	92807.2	89265.6	90201.5	101104	99647.5	95110.5	106785	100428	98838.4
Q8WU79			15929.1	21531.4	20912.1	16217.1	16814.3	20356	23664.2	20816.1	22092.9	21580.3	23977.2	24464.4
Q86UW9			2925.13	2761.88	3049.41	2263.8	3135.51	3094.13	1949.8	2345.53	2301.26	2539.81	2483.02	2221.5
Q7Z3D4			9316.22	8377.41	7970.81	8042.68	9404.01	8490.65	10611.2	10927.3	9878.34	9626.55	10508.8	10153.9
Q8TC92					1286.87		1266.59		769.67	1632.59	1358.64	1336.81	1447.8	1574.19
Q9H2S5			20236.2	21772.3	22104.2	21710.5	21952.9	21629.4	19371.8	20582.3	19473.9	18174.8	18734.4	18144.1
O75487			35282.3	29507.5	32053.2	43423	43125.8	49098.4	35069.8	38630.7	23571	22981.3	24570.2	15672.2
P01019			25227.5	27705.4	25463.3	27768.2	28539.5	27424.1	31104.6	32009.5	34090.8	31950.7	33110.6	33905.4
Q9H106			13379.9	11883.3	12096.5	12655.3	11060	11647.6	11876.4	11368.2	12327	12575.1	12154.6	10696
Q96NJ6			77747.7	80772.5	84184.8	64391.5	62666.1	62494.2	61159	61818.3	63262.4	61358.8	63092.6	69193.6
Q9H0T7			22676.3	21751.5	21174.5	16998.3	16786.5	16134.1	16314.1	15520.1	15517.3	16175.9	15788.1	16692.4
Q02127			6123.63	5951.76	6365.57	5742.29	6070.51	6185.67	6561.5	7128.43	6760.65	7316.75	7316.09	8476.31
Q7RTV3			14508.6	14885.8		12992.4	10180.9	12620.3	11917.6	11832.1	15557.2	14767.2	15946.7	15989
Q8NA56			4237.53	6706.83		5197.97	6322.84	9516.18	5864.45	4660.13	5638.41			7408.49
Q9NYA3			12448.6	12911.1	13894.3	14102.7	13876.4	14756.5	15263.8	15135.9	16316.7	15620.3	15861.4	16091.1
Q76FK4			8137.63	6423.65	6294.54	4472.08	4140.21	4516.58	5035.44	4753.85	5145.32	4632.8	4577.96	5186.32
O14827			2700.18	4580.14	3477.3	2097.89	3281.89	1822.14	2525.64	2516.97	3525.36	2724.42	1461.27	2322.47
O94907			5954.32	5607.57	5075.64	4978.07	4730.39	5817.68	5510.31	5549.89	6117.9	5752	6258.55	6849.78
P10266			10701.2	10511.9	9908.07	10663.8	10732.6	13085.6	11334.2	13556.6	12681.5	11285.3	13722.7	14394.8
Q8WZ84			10277.6	8433.65	7001.36	8018.36	5862.94	8697.82	7081.05	8316.04	7196.87	5340.21	6329.39	7517.64
Q9UGP4			5393.39	6123.93	5392.29	7944.02	6954.69	7663.36	9026.03	9382.07	9310.3	9782.74	9531.13	8449.99
Q6UB99			15801.3	16001.5	14514.9	17743.2	16414.5	16346.2	19720.5	19888.5	20344.9	23074.4	21742.7	22723.1
Q5VW00			67263	57855.8	62259.9	59048.9	56991.6	61175.5	57431.5	58347.7	57420.4	53355.7	56037.2	58543.5
Q17RS7			20153.3	20552.9	18996.6	22033.8	20591.5	20048	23828.2	22510	25314.2	26138.3	23691	25185.5
Q9BZQ8			2701.12	3154.5	2649.78	3327.14	3201.83	3433.4	4043.1	4169.3	3758.78	3999.13	4260.07	3660.36
Q2M2I3			22220.3	36246	29702.8	39711.8	32482.1	39499.3	37661.7	37133.3	37352.2	34187.3	35654.8	35921.9
P10768			4907.3	5211.87	4483.44	5226.78	5413.6	5507.92	5640.73	5619.41	5893.73	6694.31	5803.23	6283.57
Q63HM9			13322.3	12373.2	13521.4	11882.6	13057.4	13351	14937.8	16398	17535.7	16283.5	15616.6	17683.8
P41225			16444.5	14832.3	14544.3	14267.5	14809.9	15028.9	15317.8	15588.2	16392	15905.6	15940.1	15544.2
Q13202			1707.1	1693.16	1650.3	1958.95	2438.09	1561.36	2325.45	1571.72	1461.14	1570.53	2324.52	1399.99
Q96RD9			6587.43	5218.45	6706.23	7828.04	6134.02	4568.49	7735.9	9128.09	6649.94	7588.84	7563.46	7724.61
Q9H425			17025.9	18312.7	18866.1	22980.7	22352.7	21009.4	26544.4	22511.4	27358.3	22270.9	24219.2	21956.3
P35913			202772	197285	213688	168522	170678	176689	150243	165864	166110	157988	168028	170116
Q8N5N7			5990.99	5744.59	5375.5	4517.4	5125.29	4798.66		4259.68	3090.53			2493.21
Q1L5Z9			7663.92	5086.63	4673.88	2790.22	3447.16	3772.37	3241.72	3136.98	2868.09	1901.97	3348.32	4176.73
Q9NSY0				639.768	516.067	754.42	533.183		1161.54	845.871	841.142	1274.18	795.601	957.995
O43426			3078.32	4044.53	3908.65	3899.6	3662.7	4925.61	3842.16	4439.22	5185.65	4156.53	4992.94	4781.62
Q8IUI8			13002.5	12902.3	12249.7	8554.08	8628.73	8192.22	10915.3	11240.8	10225.2	9433.82	10631.4	11508.5
P26992			13314	12930.5	13086.8	10168.7	11814	11056	11233.7	10774.2	9145.22	9717.09	12522	12705.8
P58417			7064.4	8040.11	7960.94	7806.01	7781.46	8124.97	8862.9	8353.29	8825.3	8555.78	9937.87	8055.09
Q9Y4A5			25472	21413.1	19973.1	23810	23534.9	22606.9	22572	20131.7	21801.7	24736.6	21073.7	21415.4
O00634			3855.68	4616.98	4028.68	2100.37	2545.99	4130.99	2662.53	3632.02	3364.4	2862.74	3004.89	2305.17
Q14254			1459.81	1611.74	1571.01	686.5		464.924	824.946	940.628	941.717	1492.67	424.169	568.624
Q96PF2			31412.7	34003.1	33362.8	26533.5	31676.1	31255	26278.5	31233.2	27188.8	27573	26732.3	27935.6
Q13352			77437.7	76131.8	72901.1	76293.3	81560.9	78217	85558.5	89157.1	87218	90928.3	94699.3	101992
Q9NS67			101581	95266.2	90717.4	65832.7	69753.7	74821.6	64734.8	69032.4	61345.6	63094.5	56917	63787.2
Q9H2C8			7320.06	9287.18	9495.29	4995.62	4901.38	4603.93	8212.09	6203.58	7010.6	8420.95	6076.04	6592.92
O95455			4217.62	6283.82	4313.93	4292.55	4666.63	5042.29	5756.43	5684.43	5295.38	5405.93	5279.76	5150.99
P51172			4998.59	4884.33	3865.97	8645.57	3905.72	6091.56	4890.51	4815.25	4740.21	4198.5	5439.57	5633.35
Q9NPU4			3771.63	3523.17	4928.82	3974.03	3041.43	4199.19	3052.8	4299.59	3799.6	3568.14	3792.02	2929.4
A0A075B6K5														
Q96R48			3774.52	5170.64	4516.51	2793.23	4105.1	3926.45	4497.75	3996.07	6397.42	5110.72	4346.16	5311.72
Q5T0Z8			810.31	736.219				506.068	325.53			347.304	153.142	364.499
Q12996			26569.1	31803.1	28012	18681.7	22443.7	20782.3	23376.2	27512.6	27642.4	25866.3	27044.1	28593.4
Q13670			3540.94	3375.03	4066.61	3324.14	4858.4	4993.58	3899.32	2548.39	4027.89	3333.23	3551.77	2831.71
Q6UXF7			17308	19970.8	20239.8	21023.6	19970.9	17616.6	19643.7	18273.5	18053.2	16420.5	16900.1	15928.4
P42658			2100.98		1758.42	2492.85	2812.23	2258.53	2249.08	3019.12	2772.51	2415.83	2442.58	3169.51
O94763			591.612	555.502		709.015		676.82	522.58	595.438	804.442	841.356	558.669	757.927
Q8TDU6			33038.2	29100.2	30772.5	22592.6	25809.5	22965	21368.8	22808.9	22444.4	20022.6	19041.6	20811.6
Q86W47			7726.85	6394.65	6389.51	5508.73	7591.79	5141.8	6119.16	4776.29	6048.12	5247.17	5162.37	4662.62
Q76B58			14502.8	13868.7	15731.7	14360.2	15830.9	19068.3	16726.2	16607.8	15530.5	15258.2	16615.9	16229.1
P43251			6439.78	4691.6		8875.87	8649.79	9377.79	9159.49	5479.86	4536.44	9302.68	4673.28	
Q14590			647.516	1045.32	561.2		297.505		580.133	434.924	533.803	508.892		188.755
Q15256			18254.7	15104.8	15475.2	16420.9	22842	17761	17043.9	18241.2	17353.3	15327.3	15446	14989.5
H3BUK9			10996.2	10920.9	11117.8	10696.6	11910.7	11627.5	11617.6	12111.8	10351.1	12865.1	12496.4	12205.7
Q9HC57			2836.98	3042.79	3313.13	2418.38	2854.27	2388.73	2341.96	2262.41	2720.46	3017.72	2438.9	2644.93
Q08357			4900.23	4828.72	3748.5	2842.58	4919.97	4629.71	5731.1	5691.54	6157.11	4833.81	6592.68	5427.3
P17987			10618.7	13880	13756.6	11999.2	14221.4	12670.3	15983.2	16600.6	18945.6	14215.3	14705.8	12508.7
Q9BXJ0			10838.7	9403.09	10746.6	9337.47	9728.62	9804.92	10392.9	7893.14	9181.02	9913.6	9707.16	9162.9
A0A5A2			8819.43	7685.05	7615.85	4931.4	5044.6	5116.87	4704.61	5880.76	5527.47	6006.2	5302.85	6420.25
Q8NHS9			2005.3	2262.91	2297.24	2160.63	1667.69	2305.18	2216.51	2241.17	2376.27	2346.62	2660.1	2424.91
Q9HAV5			26851.9	30595.8	27981.4	19724.8	19222.3	17963.1	18684.8	18698.5	18630.8	16401.5	17360.9	17968.4
Q2M3A8			5764.44	4309.3	4361	4854.62	4439.04	4542.89	4379.97	5745.29	4274.51	5444.16	5828.14	4583.88
Q08170			5846.53	3734.6	5054.32			3547.78	4876.73	3190.5	2960.11	2614.55	3262.36	3405.41
Q9NZK7			1745.13	1275.05	1403.48	2208.18	1753.63	1643.02	835.808	824.053	676.942	1019.6	1097.82	659.036
Q6ZRY4			8713.14	9278.99	9132.03	9054.09	9958.95	10419.4	9870.51	10614.2	10255	10199.5	9497.68	10539.2
Q8N7G0			2389.81	2152.71	1849.69	2082.45	1974.44	2652.6	2201.82	2896.16	2879.19	2916.73	2848.2	2484.32
Q9H9S5			6392.49	7048.1	6208.67	5580.48	6322.17	6700.54	5507.5	5889.37	6877.85	7975.97	7769.86	6579.79
P0DUD2			47563.4	49875.8	48960.1	41398.8	40087.1	37774.7	40661.5	43199.6	43658.2	34911.9	36657.4	34709.1
O15344			21323.8	21019.4	24378.3	22159.4	22709.8	23882.4	30180.8	30147.3	30844.4	17232.4	16611.1	17525.1
Q6NUM9			2509.03	2721.28	2464.83	2088.5	2314.52	1535.38	1763.98	2029.28	2340.25	1872.7	1663.79	1247.73
Q14CN2			21104.8	23208.5	19690.9	14872.2	16584.4	14057.6	15340.7	15931.3	15117.3	15420.7	17894.8	15846.7
Q69YG0			2411.02	4442.63	3616.01	2871.32	3197.69	3406.49		2289.78	2873.66	2799.97	2803.62	2900.35
Q8NA19			3000.79	3223.38	3036.75	3811.16		2718.81	2560.3	2910.26	2878.35	3120.12	3661.66	3610.52
Q92496			3787.23	3028.35	3843.66	3167.99	4310.8	4114.02	4221.15	4153.49	4551.98	4441.89	4192.79	5581.02
Q16720			2891.02	3180.86	3440.39	2191.12	2431.69	1721.39	1270.81	1287.45	1696.33	1088.36	1911.79	1533.62
Q14442			5998.41	5588.15	5763.23	5478.55	6354.53	6451.21	7635.86	7011.37	6625.06	7766.53	7675.28	8215.54
Q01650			22862.6	24900.1	22868.7	23920.9	22999.4	23203.4	23051.8	23591.6	23669.7	25416.1	24618.5	25067.7
Q13535			10230.4	7732.43	8339.27	8625.16	9986.77	8954.43	10910.7	11349.5	10969.7	11415.4	11014.2	9550.4
P35611			115711	124378	126775	139705	146741	142716	136308	137746	132217	139997	128098	122154
Q86W42			4257.61	3542.4	3630.55	3246.64	3531.86	3685.23	2703.38	3272.39	3178.28	3463.72	2767.7	4003.05
P51659			2995.5	1844.89	2065.84	3928.66	2895.04	3404.39	2867.66	2302.42	2308.33	1529.89	2179.33	1638.77
Q99689			4987.26	4419.58	3807.36	4141.79	4062.07	4524.37	4789.37	4828.52	5251.42	5703.45	4874.78	4639.64
Q9H9P8			5396.58	5040.14	4964.72	3371.23	4554.46	4220.88	3605.08	3472.37	5299.62	4137.58	5738.89	3527.82
Q14525			7989.44	8894	7296.42	7956.61	9220.01	10297.3	9448.54	7167.06	9860.3	8309.69	8510.63	6975.44
Q9BZD6			28460.4	32613.8	31459.4	18316.7	23275.8	19576.5	19746.5	20372.6	20562.5	19492.6	19893.7	17521
Q99729			72610.4	73980.1	69800.7	64225.9	65965.5	69831.5	75128.7	77265.4	74449.6	75765.4	76482.3	83522.1
Q5JXA9			11261	11534.2	10722.9	9718.59	10310.9	9794.38	8766.08	9482.21	8833.37	9644.12	9841.38	9011.84
Q9BUU2			7601.38	11476.2	10406.6	6224.19	8678.24	9783.54	6931.6	8057	8590.36	11707.1	8213.84	9961.48
Q8NGE8			8802.57	7059.45	7491.13	8206.52	7935.02	8583.9	3365.72	4832.44	4004.26	3176.55	4010.37	4945.83
P24311			10669.8	8815.25	9493.38	9257.18	9434.59	8160.74	7746.77	7217.09	7776.11	7348.41	7643.56	6647.33
Q8WU08			3339.12	4306.85	3822.9	3416.9	3459.08	3338.62	3568.37	3270.01	4524.04	3416.86	3764.9	4275.46
Q9NZQ3			6121.68	6250.44	6262.82	6890.21	7086.21	6446.89	7460.02	7116.14	7092.88	8204.77	8118.48	7907.69
O60383			9022.53	9189.76	7959.07	8560.87	7017.86	7042.42	9205.61	8898.51	10057.8	10018.7	9674.32	11420.7
Q5T447			10583.7	11310.8	12505.1	11844.1	13304.4	11479.5	12512.5	13105.2	12447.6	11621.5	11884	11378.8
Q6DN03			21465.8	19699.1	20080.6	22144.7	22610.3	24394.7	23449.5	23965.5	23842.4	25270.8	24906.7	23308.5
P36575			2219.25	2174.46	2239.58	2720.76	2094.15	1395.74	1786.69	1564.57	2283.91	1735.45	3457.23	3315.42
P32745			4880.09	5188.28	5960.9	5480.92	6909.67	5671.19	6513.84	7830.44	7325.18	8695.04	7134.32	8834.39
P10155			7363.48	5859.89	7886.48	5471.64	5575.53	5663.63	5423.53	6696.54	6413.9	6867.33	5733	6547.56
Q15053			1984.15	1827.01	1146.03	1950.84	1184.38	1424.85	1413.83	2444.07	2137.03	1792.03	2239.86	1254.7
Q99706			6543.57	6271.13	5054.69	4541.47	6340.03	5251.68	6655.92	6424.76	6169.44	6368.47	6277.63	6380.58
O75600			25689	32309.5	31493.7	21996.2	20888.8	22019.8	23617.2	27721.3	26504.8	28445.3	26715.5	28603.4
P46527					855.211	850.647	488.484		772.373	852.988	743.439	940.915	885.997	795.536
Q12836			3044.88	2989.28	3219.43	1847.73	1840.29	2147.48	2596.67	2770.82	2021.33	3195.18	2361.99	2187.17
Q9Y4E6			775.412	960.446	577.878	649.766		852.194	745.265	768.093	653.812	956.036	684.064	1017.06
Q569H4			7841.32	7281.24	8283.67	7208.64	7983.09	7848.73	8170.01	8219.51	6715.62	6686.4	5535.62	4946.86
O43809			1960.16	3689.03	4392.98	2623.21	2999.96	2097.32	2026.96	2976.14	3097.55	3302.5	3051.29	2815.78
Q8TDY3			14248.2	13675.4	13549.2	16269.2	14444.7	13800	16673.5	17039.4	19110.6	18802.2	20050.5	19238.7
Q8NGC2			8165.74	8114.96	7520.4	4903.81	4711.93	5556.88	7462.19	6530.92	6462.81	6158.32	5999.35	6874.9
Q9H6Y5			7284.06	7620.32	5188.8	6853.87	7981.24	6310.66	8870.83	9368.64	10294.5	10769.1	9373.66	9880.44
Q99990			74511.6	75368.9	78038.1	67827.7	75616	79925.9	82823	80221.3	75364.1	68508.2	67527.4	70879.1
O95198			84386.3	78851.6	74370.4	61017.8	60902.6	61798.4	55118	53824.6	56672.8	51233.9	51052.9	51308.5
O15042			8095.63	8369.36		8698.07	7978.11	7500.15	9581.64	9769.36	9759.05	9981.52	10341.6	8510.87
Q7Z6J0			5312.31	6830.83	7052.35	7370.28	7666.46	7548.02	7850.27	8118.67	7375.28	7584.42	8026.32	8050.93
O95837			15864.2	12168.2	14147.2	12939.8	14746.5	14212.3	14733.9	15353.5	17709.6	14908.4	15266.8	15487.1
A0A1B0GUI7			10311.7	9293.3	10383.3	7537.44	8590.96	8253.04	7165.07	7492.9	8365.76	8432.5	8005.02	8514.21
Q6NUQ4			8302.14	9093.69	10531.8	8474.51	9240.46	8509.56	8856.43	9515.02	10343.4	10551.4	10201	10281.8
Q8ND24			6111.2	7114.53	6677.61	10487.7	8839.79	10724.9	9024.1	6814.66	5293.84	6544.04	3530.78	3848.34
Q99062			6539.08	5741.64	6614.31	6876.51	6601.06	6547.31	6795.78	6734.81	7391.57	7129.51	7484.41	7609.43
Q9NSD4			6264.03	6563.04	6559.87	5463.07	4984.74	4952.76	5452.06	5386.01	5857.48	5939.32	5884.54	5386.25
Q9NS18			1150.46	1620.34	1507.76	2340.04	2723.13	1621.88	1676.94	2179.06	2862.12	2662.17	1272.06	1877.3
P42680			10909.4	9642.48	10206	7621.09	7675.29	8155.05	10395.5	7731.16	8583.99	8806.79	8727.31	7904.85
Q8NBR6			6039.16	3271.78					2932.86	2805.78	2877.67	3058.97	3520.59	2957.88
A3KMH1			10299.8	7665.39	10747	9152.77	9865.12	10582.6	8811.16	9558.36	9255.55	8707.04	10993.8	9439.64
A8MXU0			3138.22	2743.97	2126.49	2332.74	1312.09	1345.83	1818.31	1801.56	1896.55	1665.98	2003.24	2446.06
Q9C0D7			7453.06	11535.7	9298.42	5203.82	7676.54	4789.06	6878.36	8802.59	9176.15	7655.56	6949.43	10504.5
Q7LBR1			9695.54	9784.42	9396.66	7708.31	8295.81	8866.6	7887.7	8356.78	9199.72	7943.42	8399.52	8006.76
Q6P499			17090.3	15620.8	14407.7	19123.5	19156.3	18968.7	18494.5	19147.8	18046	17967	17355.7	16280.8
Q6PJG9			2997.36	4462.64	5614.51	3525.62	3745.04	3710.1	3982.35	3910.81	4944.08	4770.51	4073.04	4215.24
Q9NYP7			1046.59	1440.19	1332.3	1146.99	1180.35	1750.07	1568.42	1790.99	1233.24	1560.04	1536.74	1484.78
A2RUQ5			6003.74	6365.76	6478.96	4998.82	7158.4	6760.28	6667.47	6194.22	6568.89	6117.16	6230.29	5209.38
Q08426			3611.63	4733.78		4672.53	3743.02	3399.47	2437.81		2794.24	4189.13	1876.34	
Q13520			6160.41	7003.54	6554.03	6555.96	6636.22	6403.07	6065.03	6389.02	6646.96	5920.62	6516.29	6124.51
P22413				5592.2	4159.74	3256.62	4447.45		5334.91	5612.27	6584.2	3701.01	5920.8	6474.12
Q9Y6N5			179080	168864	164461	173207	170226	188347	187952	188866	191591	193445	194027	180091
O75995			108987	118012	116044	89945.7	90203.2	90663.4	86167.3	83006.9	85565.4	87089.3	82586.1	83455.6
A6NC78			5249.32	4164.91	3512.41	3210.17	3651.15	2418.77	2472.61	2549.13	2722.02	1999.08	2984.4	2814.92
Q9H7Z6			3629.66	2644.25	2567.13			2481.34		2557.12	2749		1583.51	3554.73
Q9NR90			471.507	723.21	1148.01	1062.08	703.382	791.021	603.062	732.965	964.623	1084.35	1143.1	893.733
Q92830			61570.6	65674.4	63023.8	50923.9	51604.5	54550.6	52652.5	50108.1	51935.8	49832.6	48692.6	47599.9
Q9Y4P9			5874.7	7398.57	6141.6	5776.8	6201.39	6218.33	4766.97	3983.41	4521.15	5180.06	5561.38	4325.15
Q9HC56			13565.6	14683	14966.5	13408.2	14574.2	14603.7	12616	11207.7	12652.7	13463.4	12552.5	12111.9
Q8NGC4			2563.09	1790.71	2986.13	3043.5	3692.45	2979.49	3570.96	2995.69	3449.56	3189.37	2738.61	2857.93
Q9UJ68			10894.8	12472.6	12810.9	13156	13401.2	14475.5	13328.5	13583	12870	14931.6	14674.9	13096.9
O14669			8973.43	6478.37	5707.7	6697.35	4913.95	5449.52	4693.45	3997.91	5762.13	5017.2	5422.16	5652.26
Q96NT0			7850.74	9505.42	9141.53	5481.27	6525.43	6574.61	8209.34	7406.09	8457.95	7861.51	8083.84	10436.4
A0A1W2PPG7			20187	22035.3	22277	25516.5	26243.1	26829.8	30126.8	28914.8	29192.3	30596.7	30958.4	30848.3
Q99618			9688.41	10076.2	9362.63	14774.9	13604.9	14208.8	16570	16547.8	17494.2	17415.8	13215.9	16263.6
O15554			5349.79	4007.17	4995.01	3140.79	3906.41	3766.36	3521.04	4009.6	2694.01	2946.32	3426.51	2926.98
P25116			31715.7	32508.7	33184.8	38273.4	37948.5	35883.4	37193.6	33793.6	36586.3	35948.5	35267.5	35560.8
Q5T8I9			7024.78	5467	4555.63	7222.1	7794.5	8989.57	6245.47	4907.05	5680.37	4475.2	3931.16	3211.65
Q14957			9555.27	8978.4	9341.28	8032.93	9648.46	6929.76	9182.53	7185.2	7902.47	8338.8	8144.75	7488.31
Q9Y5T4			79818.8	71455.1	67935.4	53623.4	59432.6	57376.5	51354.8	50329.9	49168.5	53335.3	51698.1	47962.8
P02675			12508.1	13524.5	14569.7	10850	10423.2	10099.3	8324.48	9595.99	9080.05	6438.2	8032.95	8988.43
